YearMonth,Heating_Oil_Price,CPI,Real_Heating_Oil_Price,Heating_Degree_Days,Date,Year,Month,Quarter,Price_Change,Price_PctChange,Price_MA3,HDD_Category,HDD_Lag1,HDD_Lag3
2010-06,2.828,217.199,0.013020317773102,20.0,2010-06-01,2010,6,2,-0.0003857294449014989,-0.028772794741725782,0.013379409097637865,Warm,135.0,655.0
2010-07,2.8,217.605,0.0128673513935801,0.0,2010-07-01,2010,7,3,-0.00015296637952190092,-0.011748283120854852,0.013097905461561867,Warm,20.0,362.0
2010-08,2.814,217.923,0.012912817830151,6.0,2010-08-01,2010,8,3,4.546643657090017e-05,0.003533472832146778,0.012933495665611033,Warm,0.0,135.0
2010-09,2.83,218.275,0.0129652960714694,32.0,2010-09-01,2010,9,3,5.247824131839919e-05,0.004064042566748194,0.012915155098400166,Warm,6.0,20.0
2010-10,2.936,219.035,0.0134042504622548,304.0,2010-10-01,2010,10,4,0.00043895439078540065,0.03385610234935821,0.013094121454625067,Cold,32.0,0.0
2010-11,3.044,219.59,0.0138621977321371,606.0,2010-11-01,2010,11,4,0.00045794726988230075,0.03416433251317108,0.013410581421953767,Cold,304.0,6.0
2010-12,3.193,220.472,0.014482564679415,1002.0,2010-12-01,2010,12,4,0.0006203669472778992,0.04475242376897315,0.013916337624602301,Severe,606.0,32.0
2011-01,3.415,221.187,0.0154394245593095,1160.0,2011-01-01,2011,1,1,0.0009568598798945002,0.06606978122145368,0.0145947289902872,Severe,1002.0,304.0
2011-02,3.607,221.898,0.0162552163606702,965.0,2011-02-01,2011,2,1,0.0008157918013607015,0.05283822581773645,0.0153924018664649,Severe,1160.0,606.0
2011-03,3.827,223.046,0.0171578956807116,808.0,2011-03-01,2011,3,1,0.0009026793200413996,0.055531670573481184,0.016284178866897103,Severe,965.0,1002.0
2011-04,3.975,224.093,0.0177381712057047,449.0,2011-04-01,2011,4,2,0.0005802755249930992,0.033819737326263644,0.017050427749028832,Cold,808.0,1160.0
2011-05,3.914,224.806,0.017410567333612,233.0,2011-05-01,2011,5,2,-0.00032760387209269937,-0.018468864027388565,0.017435544740009436,Mild,449.0,965.0
2011-06,3.824,224.806,0.0170102221470957,67.0,2011-06-01,2011,6,2,-0.00040034518651630227,-0.022994379151758948,0.017386320228804132,Mild,233.0,808.0
2011-07,3.689,225.395,0.0163668226890569,0.0,2011-07-01,2011,7,3,-0.0006433994580387972,-0.03782428309724639,0.0169292040565882,Warm,67.0,449.0
2011-08,3.671,226.106,0.0162357478350861,0.0,2011-08-01,2011,8,3,-0.00013107485397080218,-0.008008570536933934,0.016537597557079568,Warm,0.0,233.0
2011-09,3.654,226.597,0.0161255444688146,45.0,2011-09-01,2011,9,3,-0.00011020336627149893,-0.006787698810728382,0.016242704997652534,Warm,0.0,67.0
2011-10,3.642,226.75,0.0160617420066152,256.0,2011-10-01,2011,10,4,-6.380246219940197e-05,-0.003956608244936488,0.01614101143683863,Mild,45.0,0.0
2011-11,3.682,227.169,0.016208197421303,439.0,2011-11-01,2011,11,4,0.00014645541468780165,0.009118277122586171,0.016131827965577602,Cold,256.0,0.0
2011-12,3.646,227.223,0.0160459108452929,774.0,2011-12-01,2011,12,4,-0.00016228657601009833,-0.010012623352970706,0.0161052834244037,Cold,439.0,45.0
2012-01,3.697,227.842,0.0162261567226411,956.0,2012-01-01,2012,1,1,0.00018024587734820005,0.0112331346650274,0.016160088329745668,Severe,774.0,256.0
2012-02,3.804,228.329,0.0166601701930109,802.0,2012-02-01,2012,2,1,0.0004340134703697991,0.02674776768082121,0.016310745920314968,Severe,956.0,439.0
2012-03,3.909,228.807,0.0170842675267802,577.0,2012-03-01,2012,3,1,0.0004240973337692987,0.025455762387542213,0.01665686481414407,Cold,802.0,774.0
2012-04,3.858,229.187,0.0168334155078603,372.0,2012-04-01,2012,4,2,-0.0002508520189198997,-0.014683217675365956,0.016859284409217135,Cold,577.0,956.0
2012-05,3.749,228.713,0.0163917223769527,179.0,2012-05-01,2012,5,2,-0.0004416931309076007,-0.026239067805422733,0.016769801803864403,Mild,372.0,802.0
2012-06,3.513,228.524,0.0153725648071974,79.0,2012-06-01,2012,6,2,-0.0010191575697553,-0.06217513610334624,0.016199234230670132,Mild,179.0,577.0
2012-07,3.492,228.59,0.0152762588039721,0.0,2012-07-01,2012,7,3,-9.630600322529936e-05,-0.006264797347298123,0.015680181996040734,Warm,79.0,372.0
2012-08,3.66,229.918,0.0159187188475891,0.0,2012-08-01,2012,8,3,0.0006424600436170016,0.04205611150355426,0.015522514152919534,Warm,0.0,179.0
2012-09,3.817,231.015,0.0165227366188342,76.0,2012-09-01,2012,9,3,0.0006040177712450974,0.03794386828664775,0.015905904756798466,Mild,0.0,79.0
2012-10,3.847,231.638,0.0166078104628774,270.0,2012-10-01,2012,10,4,8.50738440432014e-05,0.0051488954890333005,0.0163497553097669,Mild,76.0,0.0
2012-11,3.847,231.249,0.0166357476140437,687.0,2012-11-01,2012,11,4,2.793715116630041e-05,0.0016821694364075324,0.0165887648985851,Cold,270.0,0.0
2012-12,3.844,231.221,0.016624787540924,824.0,2012-12-01,2012,12,4,-1.0960073119702096e-05,-0.0006588266048500602,0.016622781872615035,Severe,687.0,76.0
2013-01,3.841,231.679,0.0165789734934974,1038.0,2013-01-01,2013,1,1,-4.581404742659903e-05,-0.0027557673933469307,0.016613169549488365,Severe,824.0,270.0
2013-02,3.965,232.937,0.0170217698347621,949.0,2013-02-01,2013,2,1,0.0004427963412646993,0.02670830865604401,0.016741843623061164,Severe,1038.0,687.0
2013-03,3.879,232.282,0.0166995290207592,846.0,2013-03-01,2013,3,1,-0.00032224081400289775,-0.01893109924120895,0.0167667574496729,Severe,949.0,824.0
2013-04,3.701,231.797,0.0159665569442227,483.0,2013-04-01,2013,4,2,-0.0007329720765365012,-0.04389178135654859,0.016562618599914668,Cold,846.0,1038.0
2013-05,3.599,231.893,0.0155200890065676,227.0,2013-05-01,2013,5,2,-0.00044646793765510014,-0.02796269347328817,0.016062058323849833,Mild,483.0,949.0
2013-06,3.569,232.445,0.0153541698036094,28.0,2013-06-01,2013,6,2,-0.00016591920295819934,-0.0106906089834915,0.015613605251466567,Warm,227.0,846.0
2013-07,3.604,232.9,0.0154744525547445,2.0,2013-07-01,2013,7,3,0.00012028275113509963,0.007833881784140795,0.015449570454973832,Warm,28.0,483.0
2013-08,3.651,233.456,0.015638921252827,0.0,2013-08-01,2013,8,3,0.000164468698082499,0.01062840171570878,0.015489181203726965,Warm,2.0,227.0
2013-09,3.694,233.544,0.0158171479464255,88.0,2013-09-01,2013,9,3,0.00017822669359850163,0.01139635469206568,0.015643507251332334,Mild,0.0,28.0
2013-10,3.684,233.669,0.0157658910681348,275.0,2013-10-01,2013,10,4,-5.125687829070011e-05,-0.0032405891671692943,0.015740653422462433,Mild,88.0,2.0
2013-11,3.683,234.1,0.0157325929090132,669.0,2013-11-01,2013,11,4,-3.329815912159889e-05,-0.002112037878334694,0.015771877307857837,Cold,275.0,0.0
